iter	Passed	Remaining
206	35668	136642
207	35895	136677
208	36156	136842
209	36378	136852
210	36669	137120
211	36882	137090
212	37097	137068
213	37288	136957
214	37522	137000
215	37701	136843
216	37888	136711
217	38060	136530
218	38254	136423
219	38419	136213
220	38620	136134
221	38829	136077
222	39058	136092
223	39466	136724
224	39633	136516
225	39882	136590
226	40056	136404
227	40252	136293
228	40414	136067
229	40576	135842
230	40728	135584
231	40903	135404
232	41089	135261
233	41251	135037
234	41408	134798
235	41570	134575
236	41742	134384
237	41969	134373
238	42193	134347
239	42413	134308
240	42608	134190
241	42772	133972
242	42932	133745
243	43028	133318
244	43194	133111
245	43399	133021
246	43593	132898
247	43757	132685
248	43925	132481
249	44084	132254
250	44250	132046
251	44423	131860
252	44640	131802
253	44826	131655
254	45019	131527
255	45174	131287
256	45326	131041
257	45483	130808
258	45634	130560
259	45830	130440
260	45997	130237
261	46156	130012
262	46378	129964
263	46546	129766
264	46710	129555
265	46866	129323
266	47081	129254
267	47251	129061
268	47400	128810
269	47581	128645
270	47740	128423
271	47908	128225
272	48095	128079
273	48268	127893
274	48437	127698
275	48604	127498
276	48792	127354
277	48969	127179
278	49137	126983
279	49338	126869
280	49522	126714
281	49680	126492
282	49856	126315
283	50031	126136
284	50214	125976
285	50382	125779
286	50579	125655
287	50756	125482
288	50912	125254
289	51105	125119
290	51293	124971
291	51459	124772
292	51629	124581
293	51794	124377
294	51957	124168
295	52132	123989
296	52291	123774
297	52460	123582
298	52633	123399
299	52827	123264
300	52984	123044
301	53148	122839
302	53316	122646
303	53495	122476
304	53666	122289
305	53829	122082
306	54009	121918
307	54166	121698
308	54319	121471
309	54473	121248
310	54645	121064
311	54801	120844
312	54968	120649
313	55162	120513
314	55345	120353
315	55525	120187
316	55700	120010
317	55883	119851
318	56067	119693
319	56283	119601
320	56539	119595
321	56727	119445
322	56902	119265
323	57079	119092
324	57265	118936
325	57455	118787
326	57651	118653
327	57821	118464
328	58005	118302
329	58189	118142
330	58380	117995
331	58586	117878
332	58836	117849
333	59003	117653
334	59185	117487
335	59350	117288
336	59503	117064
337	59674	116878
338	59854	116707
339	60045	116559
340	60252	116441
341	60440	116285
342	60649	116170
343	60839	116019
344	61069	115943
345	61247	115769
346	61425	115592
347	61596	115405
348	61761	115205
349	61972	115092
350	62237	115076
351	62450	114966
352	62645	114819
353	62823	114643
354	62982	114433
355	63140	114219
356	63312	114033
357	63531	113930
358	63698	113734
359	63862	113532
360	64034	113346
361	64228	113197
362	64422	113049
363	64581	112840
364	64774	112689
365	64940	112491
366	65107	112297
367	65276	112105
368	65433	111893
369	65602	111700
370	65788	111539
371	65968	111366
372	66138	111177
373	66331	111025
374	66509	110848
375	66776	110821
376	66960	110653
377	67130	110462
378	67307	110285
379	67475	110091
380	67647	109904
381	67810	109704
382	67985	109521
383	68169	109354
384	68343	109171
385	68501	108963
386	68691	108805
387	68891	108663
388	69067	108484
389	69248	108312
390	69458	108184
391	69623	107986
392	69796	107803
393	69973	107624
394	70144	107436
395	70321	107257
396	70503	107087
397	70681	106909
398	70851	106721
399	71023	106535
400	71191	106343
401	71351	106139
402	71509	105934
403	71693	105765
404	71884	105607
405	72042	105402
406	72206	105204
407	72373	105012
408	72538	104816
409	72736	104669
410	72932	104518
411	73108	104339
412	73298	104180
413	73459	103979
414	73615	103771
415	73801	103605
416	74011	103473
417	74224	103346
418	74417	103189
419	74609	103032
420	74779	102844
421	74942	102646
422	75126	102476
423	75343	102354
424	75516	102169
425	75675	101965
426	75848	101783
427	76014	101589
428	76189	101408
429	76388	101258
430	76566	101082
431	76756	100921
432	77108	100970
433	77478	101042
434	77708	100932
435	77852	100708
436	78001	100491
437	78147	100271
438	78296	100055
439	78451	99847
440	78623	99661
441	78790	99468
442	78935	99247
443	79093	99044
444	79238	98825
445	79539	98800
446	79713	98616
447	79854	98392
448	80045	98230
449	80197	98019
450	80372	97837
451	80543	97649
452	80702	97449
453	80879	97269
454	81041	97071
455	81230	96906
456	81403	96722
457	81568	96529
458	81748	96352
459	81921	96168
460	82084	95973
461	82268	95802
462	82467	95648
463	82642	95466
464	82819	95287
465	82985	95094
466	83147	94898
467	83323	94717
468	83491	94528
469	83660	94340
470	83810	94131
471	83990	93955
472	84170	93779
473	84337	93590
474	84509	93405
475	84696	93236
476	84853	93036
477	85014	92840
478	85187	92656
479	85364	92478
480	85528	92285
481	85690	92090
482	85905	91953
483	86064	91755
484	86226	91559
485	86364	91340
486	86541	91161
487	86692	90955
488	86859	90766
489	87047	90600
490	87209	90406
491	87399	90241
492	87553	90039
493	87713	89843
494	87859	89634
495	88033	89453
496	88231	89296
497	88435	89145
498	88590	88945
499	88783	88783
500	88934	88579
501	89096	88386
502	89243	88178
503	89422	88003
504	89600	87826
505	89755	87626
506	89941	87457
507	90083	87245
508	90277	87085
509	90425	86879
510	90622	86721
511	90808	86551
512	90977	86366
513	91134	86170
514	91286	85968
515	91454	85782
516	91627	85601
517	91810	85429
518	91988	85252
519	92182	85091
520	92377	84930
521	92576	84772
522	92767	84608
523	92936	84423
524	93172	84298
525	93363	84133
526	93555	83968
527	93738	83796
528	93890	83596
529	94055	83407
530	94226	83224
531	94412	83054
532	94564	82854
533	94720	82658
534	95073	82634
535	95262	82465
536	95463	82308
537	95617	82109
538	95759	81901
539	95911	81702
540	96056	81497
541	96222	81309
542	96383	81118
543	96569	80948
544	96772	80792
545	96951	80615
546	97121	80431
547	97284	80241
548	97449	80054
549	97623	79873
550	97813	79706
551	97976	79517
552	98185	79364
553	98364	79188
554	98538	79008
555	98697	78816
556	98857	78624
557	99059	78466
558	99238	78289
559	99410	78108
560	99616	77952
561	99804	77783
562	99990	77612
563	100196	77456
564	100363	77271
565	100543	77094
566	100719	76916
567	100876	76723
568	101035	76531
569	101189	76336
570	101476	76240
571	101666	76072
572	101846	75896
573	102046	75735
574	102206	75543
575	102391	75371
576	102595	75213
577	102762	75027
578	102930	74842
579	103359	74846
580	103573	74694
581	103758	74520
582	103969	74365
583	104147	74187
584	104355	74029
585	104523	73844
586	104699	73664
587	104911	73509
588	105186	73398
589	105383	73232
590	105551	73046
591	105717	72859
592	105881	72670
593	106052	72487
594	106219	72300
595	106393	72118
596	106567	71937
597	106724	71744
598	106898	71563
599	107071	71380
600	107250	71203
601	107434	71028
602	107627	70859
603	107783	70666
604	107967	70491
605	108129	70301
606	108312	70126
607	108514	69963
608	108673	69772
609	108847	69590
610	109022	69410
611	109200	69231
612	109395	69063
613	109571	68883
614	109782	68725
615	109955	68543
616	110131	68363
617	110332	68198
618	110535	68035
619	110710	67854
620	110949	67713
621	111131	67536
622	111304	67354
623	111466	67165
624	111632	66979
625	111820	66806
626	112014	66636
627	112221	66475
628	112405	66299
629	112593	66126
630	112749	65934
631	112899	65739
632	113049	65543
633	113225	65363
634	113483	65230
635	113709	65079
636	113874	64892
637	114031	64701
638	114186	64509
639	114362	64329
640	114531	64144
641	114672	63945
642	114832	63755
643	115001	63572
644	115184	63396
645	115359	63215
646	115515	63024
647	115698	62848
648	115859	62660
649	116026	62475
650	116204	62296
651	116373	62113
652	116570	61944
653	116759	61771
654	116957	61603
655	117174	61445
656	117357	61268
657	117552	61098
658	117746	60927
659	117925	60749
660	118140	60589
661	118303	60402
662	118491	60228
663	118649	60039
664	118825	59859
665	119014	59685
666	119216	59518
667	119387	59336
668	119564	59156
669	119727	58970
670	119897	58787
671	120057	58599
672	120230	58417
673	120411	58240
674	120571	58052
675	120745	57872
676	120899	57681
677	121065	57497
678	121243	57318
679	121410	57134
680	121618	56969
681	121794	56789
682	121956	56603
683	122144	56429
684	122318	56248
685	122476	56060
686	122633	55872
687	122827	55700
688	122990	55515
689	123158	55332
690	123327	55149
691	123512	54973
692	123672	54786
693	123838	54602
694	124011	54422
695	124165	54233
696	124345	54055
697	124510	53871
698	124678	53688
699	124840	53502
700	125014	53322
701	125204	53149
702	125358	52960
703	125521	52776
704	125698	52597
705	125862	52413
706	126030	52230
707	126276	52079
708	126436	51894
709	126607	51712
710	126760	51524
711	126920	51338
712	127086	51155
713	127240	50967
714	127442	50798
715	127615	50618
716	127772	50431
717	127935	50247
718	128089	50060
719	128257	49878
720	128438	49700
721	128615	49522
722	128791	49343
723	128947	49156
724	129116	48975
725	129278	48791
726	129441	48607
727	129621	48430
728	129799	48252
729	129968	48070
730	130136	47888
731	130292	47702
732	130456	47519
733	130619	47336
734	130794	47157
735	130986	46984
736	131144	46799
737	131311	46617
738	131476	46434
739	131650	46255
740	131815	46073
741	132005	45899
742	132162	45714
743	132329	45532
744	132492	45349
745	132655	45166
746	132836	44990
747	133005	44809
748	133231	44647
749	133411	44470
750	133566	44285
751	133733	44103
752	133890	43918
753	134041	43732
754	134202	43549
755	134394	43375
756	134558	43193
757	134716	43009
758	134882	42828
759	135051	42647
760	135225	42469
761	135382	42284
762	135556	42105
763	135706	41919
764	135867	41737
765	136028	41554
766	136202	41375
767	136364	41193
768	136531	41012
769	136726	40840
770	136902	40662
771	137056	40477
772	137228	40298
773	137398	40118
774	137550	39934
775	137712	39751
776	137917	39582
777	138080	39400
778	138239	39218
779	138409	39038
780	138570	38856
781	138740	38676
782	138906	38496
783	139106	38325
784	139289	38149
785	139442	37965
786	139611	37785
787	139790	37608
788	139956	37428
789	140137	37251
790	140306	37072
791	140475	36892
792	140639	36711
793	140783	36525
794	140934	36341
795	141086	36157
796	141245	35976
797	141451	35805
798	141604	35622
799	141778	35444
800	141951	35266
801	142109	35084
802	142292	34908
803	142487	34735
804	142654	34555
805	142827	34377
806	142974	34193
807	143137	34012
808	143295	33831
809	143452	33649
810	143635	33473
811	143809	33295
812	143979	33117
813	144155	32939
814	144327	32761
815	144497	32582
816	144666	32403
817	144865	32231
818	145029	32051
819	145191	31871
820	145345	31689
821	145493	31505
822	145680	31331
823	145831	31148
824	145995	30968
825	146143	30785
826	146302	30604
827	146451	30422
828	146610	30241
829	146762	30059
830	146908	29876
831	147062	29695
832	147286	29528
833	147439	29346
834	147608	29168
835	147788	28991
836	147947	28811
837	148282	28665
838	148467	28490
839	148627	28310
840	148798	28131
841	148965	27953
842	149145	27776
843	149308	27597
844	149483	27419
845	149686	27247
846	149856	27069
847	150020	26890
848	150203	26714
849	150375	26536
850	150555	26360
851	150744	26185
852	150905	26006
853	151075	25827
854	151256	25651
855	151422	25472
856	151639	25302
857	151828	25127
858	152002	24950
859	152188	24774
860	152375	24599
861	152548	24421
862	152742	24247
863	153009	24084
864	153308	23926
865	153511	23753
866	153736	23583
867	153936	23409
868	154082	23227
869	154236	23046
870	154411	22869
871	154621	22696
872	154797	22519
873	154984	22343
874	155168	22166
875	155341	21988
876	155497	21808
877	155686	21632
878	155866	21456
879	156023	21275
880	156195	21097
881	156495	20936
882	156677	20760
883	156854	20582
884	157023	20404
885	157178	20223
886	157360	20047
887	157501	19865
888	157662	19685
889	157830	19507
890	158083	19339
891	158277	19163
892	158437	18984
893	158598	18804
894	158762	18625
895	158932	18447
896	159099	18268
897	159297	18093
898	159458	17914
899	159626	17736
900	159803	17558
901	159958	17379
902	160126	17200
903	160297	17022
904	160517	16849
905	160692	16672
906	160858	16493
907	161012	16314
908	161172	16134
909	161329	15955
910	161487	15776
911	161661	15598
912	161819	15419
913	161992	15242
914	162161	15064
915	162331	14886
916	162511	14709
917	162708	14533
918	162921	14359
919	163116	14184
920	163303	14007
921	163496	13831
922	163696	13656
923	163880	13479
924	164074	13303
925	164261	13126
926	164459	12950
927	164648	12774
928	164848	12598
929	165030	12421
930	165241	12246
931	165448	12071
932	165619	11893
933	165822	11717
934	166028	11542
935	166239	11366
936	166445	11191
937	166675	11016
938	166918	10843
939	167118	10667
940	167313	10490
941	167553	10316
942	167756	10140
943	167938	9962
944	168145	9786
945	168345	9609
946	168533	9432
947	168794	9258
948	169012	9082
949	169222	8906
950	169405	8728
951	169608	8551
952	169835	8375
953	170030	8198
954	170218	8020
955	170411	7843
956	170629	7666
957	170862	7490
958	171160	7317
959	171380	7140
960	171591	6963
961	171818	6787
962	172039	6610
963	172247	6432
964	172453	6254
965	172634	6076
966	172825	5897
967	173024	5719
968	173235	5542
969	173467	5364
970	173670	5186
971	173873	5008
972	174077	4830
973	174278	4652
974	174483	4473
975	174740	4296
976	174934	4118
977	175124	3939
978	175306	3760
979	175518	3582
980	175744	3403
981	175939	3224
982	176207	3047
983	176385	2868
984	176594	2689
985	176795	2510
986	177093	2332
987	177303	2153
988	177523	1974
989	177759	1795
990	178000	1616
991	178249	1437
992	178442	1257
993	178672	1078
994	178881	898
995	179073	719
996	179288	539
997	179506	359
998	179689	179
999	179899	0
