iter	Logloss
0	0.6471553427
1	0.6066757815
2	0.5696415006
3	0.5393119161
4	0.5133905707
5	0.4880226641
6	0.4661601175
7	0.4487930507
8	0.434449598
9	0.4223761126
10	0.4099167419
11	0.4007609531
12	0.3927353848
13	0.3850596144
14	0.3781756072
15	0.3722021063
16	0.3672107939
17	0.363013711
18	0.3592099619
19	0.3556791318
20	0.3522836202
21	0.3489213473
22	0.3460281853
23	0.3431864597
24	0.3414391236
25	0.3393006523
26	0.3372530996
27	0.335068197
28	0.333406743
29	0.3317551446
30	0.3303564503
31	0.32912266
32	0.3282941532
33	0.3268389188
34	0.325501189
35	0.3247108188
36	0.3234883191
37	0.3225840733
38	0.3216240887
39	0.3206706631
40	0.3196921415
41	0.3187747989
42	0.3179893797
43	0.3172710913
44	0.3165193189
45	0.3159603045
46	0.3152095718
47	0.3142744212
48	0.3134768959
49	0.313084712
50	0.3126941949
51	0.3123664101
52	0.3116032559
53	0.311147053
54	0.3106607562
55	0.3101952507
56	0.3097041637
57	0.3088439944
58	0.3082144303
59	0.3077653718
60	0.3074823544
61	0.3067982276
62	0.3065312726
63	0.3059158743
64	0.3055568141
65	0.3053314263
66	0.3049467535
67	0.3047115054
68	0.3044268957
69	0.3042192343
70	0.3040286798
71	0.3037998658
72	0.3036128475
73	0.3033980445
74	0.3031600714
75	0.3024605493
76	0.3018185994
77	0.301582003
78	0.3011670807
79	0.300956488
80	0.300500979
81	0.3003181846
82	0.3001246511
83	0.2999031268
84	0.2997215303
85	0.2994163625
86	0.2992474846
87	0.2990124319
88	0.2988371637
89	0.2985902085
90	0.2981498356
91	0.2978634072
92	0.2977315842
93	0.2975496623
94	0.2974174474
95	0.2968352367
96	0.2966886205
97	0.296581315
98	0.2964328354
99	0.2960145574
100	0.2958296084
101	0.295587828
102	0.2954228293
103	0.2949594359
104	0.2948112349
105	0.2947053612
106	0.294534059
107	0.2944787839
108	0.2942220997
109	0.2940477394
110	0.293922461
111	0.29375348
112	0.2934674991
113	0.2933046842
114	0.2931881076
115	0.2929887067
116	0.2929025508
117	0.2928318691
118	0.2924617502
119	0.29237814
120	0.2921621751
121	0.2920367003
122	0.2919500906
123	0.2918491407
124	0.2914668703
125	0.2913399364
126	0.2912387335
127	0.2910872905
128	0.290989545
129	0.2908924635
130	0.2908401459
131	0.2907174232
132	0.2906445575
133	0.2905269031
134	0.2904202043
